epoch,train_f_loss,retain_loss,forget_acc,retain_acc,reg_loss
1,8.462099598249777,1.1871976766586303,0.2,66.925,8.944400125401701
2,1.1220811610497736,1.3217317104339599,0.0,67.45,14.367265015569975
3,0.5365227001972392,1.5727842235565186,0.0,68.15,15.916243593222106
4,0.3390150968066214,1.8150026960372925,0.0,68.95,16.742600367167928
5,0.26378681412897287,2.0253684759140014,0.0,68.75,17.097366703090383
6,0.22886122674424017,2.18739249420166,0.0,68.30000000000001,17.18365170328704
7,0.20922440520881377,2.3115254821777342,0.0,68.15,17.110748439518225
8,0.19560055275122226,2.406077619552612,0.0,68.25,16.946615403130306
9,0.18435682305456547,2.4825589084625244,0.0,67.925,16.73302673900984
10,0.1733724123047836,2.5455195388793945,0.0,67.875,16.527720392218075
11,0.16204067958072618,2.5994372005462645,0.0,67.85,16.392935286376783
12,0.14950326223578117,2.6422956314086914,0.0,67.95,16.300615721252225
13,0.13740446934985792,2.674250476837158,0.0,67.80000000000001,16.22831915928632
14,0.12682222891704983,2.700184642791748,0.0,67.72500000000001,16.181118127694038
15,0.11718437890948506,2.719607192993164,0.0,67.80000000000001,16.193356672898314
16,0.10819192535419761,2.7414763507843016,0.0,67.675,16.24666820824889
17,0.0998472891178181,2.7648522148132324,0.0,67.45,16.317208401183567
18,0.08769596803943126,2.778026445388794,0.0,67.575,16.43884078156565
19,0.07889631844209806,2.78287811088562,0.0,67.65,16.51728983214496
20,0.07454863527239718,2.789728157043457,0.0,67.60000000000001,16.53268073569593
