epoch,train_f_loss,retain_loss,forget_acc,retain_acc,reg_loss
1,5.092320979171135,1.2243081216812133,0.0,68.45,9.365846649538522
2,0.5700156348812794,1.4700488634109496,0.0,70.1,10.218203212956528
3,0.3905664791339828,1.5957114286422729,0.0,70.05,9.852073224383133
4,0.3618396782595804,1.6615867891311646,0.0,70.075,9.566844431451639
5,0.35278383460820545,1.698491847038269,0.0,70.0,9.365957055398352
6,0.34943374989468096,1.7314928722381593,0.0,69.875,9.226207213231763
7,0.34773580656077496,1.7562928791046142,0.0,69.875,9.132769627832847
8,0.3458734664047306,1.7601019525527954,0.1,69.925,9.064468251323087
9,0.34622206354951035,1.7762161560058594,0.1,69.8,8.997814525534254
10,0.3455390827540788,1.775932126045227,0.1,69.85,8.960003497963084
11,0.3455853301910096,1.7997175722122192,0.1,69.85,8.915678114351246
12,0.34582313518526553,1.802282259941101,0.1,69.95,8.887243155722903
13,0.3465757386262185,1.81025839138031,0.1,69.95,8.859408226949359
14,0.3467066291020816,1.8063130044937135,0.1,70.1,8.831758179297589
15,0.34778117401813474,1.822121600151062,0.1,69.975,8.813719552640947
16,0.3482988578746258,1.821654061317444,0.1,69.89999999999999,8.793181225607595
17,0.3492615422480482,1.822253951072693,0.1,70.025,8.78012073515525
18,0.349863731806547,1.821763783454895,0.1,70.0,8.76205175188994
19,0.35103275998008204,1.8313103656768799,0.1,70.125,8.740426534413604
20,0.3521003787708396,1.8289120798110963,0.1,70.175,8.720832908603372
