index,KL(m2||m1),KL(m1||m2),JS,label
0,1.4431579113006592,1.6848580837249756,0.2937796711921692,2
1,1.2492125034332275,1.3240280151367188,0.26170575618743896,10
2,1.2831250429153442,1.5986510515213013,0.281277596950531,3
3,1.1304993629455566,1.148177146911621,0.23045045137405396,11
4,1.1383562088012695,1.2524821758270264,0.23841868340969086,2
5,2.324462413787842,2.1616740226745605,0.3945918083190918,7
6,0.9991073608398438,1.307647466659546,0.23215943574905396,15
7,0.9746116995811462,1.181781530380249,0.21865934133529663,9
8,0.904264509677887,0.8759340047836304,0.18665829300880432,15
9,1.3482033014297485,1.9155216217041016,0.30892032384872437,5
10,0.8960703611373901,1.025746464729309,0.200528085231781,17
11,1.1391115188598633,1.2551023960113525,0.24938198924064636,6
12,1.0537630319595337,1.1533435583114624,0.22417676448822021,18
13,1.045620322227478,1.2158846855163574,0.2301602065563202,16
14,1.256327509880066,1.7754887342453003,0.28356629610061646,19
15,1.8372843265533447,2.340231418609619,0.3652442693710327,8
16,1.1178550720214844,1.6436588764190674,0.2665715217590332,12
17,1.102039098739624,1.477281093597412,0.24872639775276184,19
18,1.0469868183135986,1.3816158771514893,0.24257439374923706,9
19,1.1834224462509155,1.391830563545227,0.2577480375766754,17
20,0.9483373761177063,1.2035620212554932,0.2162427008152008,13
21,1.0536545515060425,1.1957660913467407,0.23342740535736084,11
22,1.6743416786193848,2.342247724533081,0.3649453818798065,3
23,1.152652382850647,1.3605140447616577,0.2516133785247803,15
24,1.0589051246643066,1.321608066558838,0.24146975576877594,16
25,1.0720806121826172,1.1644060611724854,0.2325451374053955,10
26,1.1210341453552246,1.4125896692276,0.25408506393432617,10
27,1.048532247543335,1.2324211597442627,0.2356610894203186,11
28,1.4187923669815063,1.5692569017410278,0.29215866327285767,8
29,0.9560478329658508,1.2008037567138672,0.22080308198928833,10
30,2.1650867462158203,1.9131947755813599,0.3541773557662964,19
31,1.0489273071289062,1.0426734685897827,0.21432429552078247,18
32,1.1748369932174683,1.4711108207702637,0.2556300759315491,18
33,1.3782246112823486,1.4590787887573242,0.27690422534942627,9
34,0.9422034621238708,1.1183797121047974,0.21616560220718384,11
35,1.113344669342041,1.3442906141281128,0.24320726096630096,14
36,1.6812500953674316,1.9755098819732666,0.34096911549568176,2
37,0.8693400621414185,0.9900522232055664,0.19766829907894135,5
38,1.137379765510559,1.3116408586502075,0.24883238971233368,6
39,0.8647605180740356,0.9854546785354614,0.19620156288146973,5
40,1.1992688179016113,1.3578157424926758,0.25602394342422485,6
41,1.1998990774154663,1.3387492895126343,0.25995659828186035,11
42,1.4668457508087158,1.51460599899292,0.28642725944519043,10
43,1.4732820987701416,1.8770169019699097,0.3153877258300781,4
44,1.5735670328140259,1.060521125793457,0.24250754714012146,6
45,1.2576189041137695,1.4990836381912231,0.2758581340312958,16
46,1.992066502571106,2.267582893371582,0.3716309666633606,16
47,0.6689724326133728,0.7286550998687744,0.15320128202438354,18
48,1.0151901245117188,1.0626065731048584,0.21327030658721924,3
49,1.1410963535308838,1.26618492603302,0.24358971416950226,10
50,1.1718316078186035,1.3473738431930542,0.2532065510749817,0
51,1.4306827783584595,1.65172278881073,0.2957443594932556,2
52,1.0380220413208008,1.1625034809112549,0.22993943095207214,7
53,1.3800204992294312,1.56856369972229,0.2907845973968506,3
54,1.4348204135894775,1.9111812114715576,0.31726622581481934,4
55,1.1387778520584106,1.3050291538238525,0.24783092737197876,16
56,1.3295981884002686,1.760448932647705,0.2943747043609619,15
57,1.5792877674102783,2.110865592956543,0.34080609679222107,16
58,1.0079703330993652,1.2793474197387695,0.23161908984184265,0
59,1.309823989868164,1.613783359527588,0.28622448444366455,3
60,1.3821301460266113,1.762546420097351,0.29518187046051025,15
61,1.2289613485336304,1.5410032272338867,0.26936501264572144,4
62,1.694983720779419,2.0971908569335938,0.3461819589138031,13
63,2.3781557083129883,2.013007640838623,0.3858640789985657,7
64,1.0944315195083618,1.4533270597457886,0.25762009620666504,16
65,1.5081725120544434,1.6942293643951416,0.3070606589317322,3
66,1.423595666885376,1.9299726486206055,0.30910420417785645,2
67,0.9523044228553772,1.1030821800231934,0.21558937430381775,6
68,0.9573822021484375,1.1810400485992432,0.2232845574617386,9
69,1.4414185285568237,1.6427313089370728,0.292826384305954,8
70,1.6060278415679932,1.6076740026474,0.29810968041419983,11
71,1.3533415794372559,1.3885090351104736,0.2660727798938751,18
72,1.5648002624511719,1.6991889476776123,0.31364282965660095,10
73,0.8831135034561157,1.389692783355713,0.22374793887138367,12
74,0.9980190396308899,1.2644753456115723,0.23144063353538513,18
75,2.346991539001465,2.2966408729553223,0.40804725885391235,6
76,1.270961046218872,1.383407473564148,0.2548055946826935,3
77,1.1083170175552368,1.3178563117980957,0.248318612575531,0
